,Unnamed: 0.1,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,0,02-01-2025,This Top Energy Stock Sees This Fuel Becoming a Potential Major Growth Accelerant,https://www.fool.com/investing/2025/02/01/this-top-energy-stock-sees-this-fuel-becoming-a-po/?source=iedfolrf0000001,The Motley Fool,positive,0.7203497886657715,0.7203497886657715,0.2714298069477081,0.0082204332575201,0.7121293554082514,0.11377438018098474,0.5568871900904924
1,1,1,01-30-2025,"NEP Investors Have Opportunity to Join XPLR Infrastructure, LP Securities Fraud Investigation with the Schall Law Firm",https://www.benzinga.com/pressreleases/25/01/b43348215/nep-investors-have-opportunity-to-join-xplr-infrastructure-lp-securities-fraud-investigation-with-,Benzinga,neutral,0.8188343048095703,0.1723877191543579,0.8188343048095703,0.008777979761362,0.16360973939299592,0.11377438018098474,0.5568871900904924
2,2,2,11-10-2024,"NextEra Energy Investments and SOSA announce the 2025 Seed Competition, offering up to $1 million in funding",https://www.globenewswire.com/news-release/2024/11/10/2977991/0/en/NextEra-Energy-Investments-and-SOSA-announce-the-2025-Seed-Competition-offering-up-to-1-million-in-funding.html,GlobeNewswire Inc.,positive,0.7808294296264648,0.7808294296264648,0.2101116776466369,0.0090588983148336,0.7717705313116312,0.11377438018098474,0.5568871900904924
3,3,3,10-25-2024,This Ultra-High-Yield Dividend Stock Could Face a Day of Reckoning in January 2025,https://www.fool.com/investing/2024/10/25/this-ultra-high-yield-dividend-stock-could-face-a/?source=iedfolrf0000001,The Motley Fool,neutral,0.9139025211334229,0.0406274944543838,0.9139025211334229,0.0454699657857418,-0.0048424713313579976,0.11377438018098474,0.5568871900904924
4,4,4,10-17-2024,Two High-Yield Dividend Stocks: 1 Is the Better Buy Now,https://www.fool.com/investing/2024/10/17/two-high-yield-dividend-stocks-1-is-the-better-buy/?source=iedfolrf0000001,The Motley Fool,neutral,0.911864459514618,0.0716058835387229,0.911864459514618,0.0165296457707881,0.0550762377679348,0.11377438018098474,0.5568871900904924
5,5,5,10-12-2024,Should You Forget NextEra Energy Partners?,https://www.fool.com/investing/2024/10/12/should-you-forget-nextera-energy-partners/?source=iedfolrf0000001,The Motley Fool,neutral,0.914701521396637,0.0282268431037664,0.914701521396637,0.0570715814828872,-0.0288447383791208,0.11377438018098474,0.5568871900904924
6,6,6,10-09-2024,"Got $5,000? Supercharge Your Passive Income With These 5 Ultra-High-Yield, High-Risk Dividend Stocks.",https://www.fool.com/investing/2024/10/09/got-5000-supercharge-your-passive-income-with-thes/?source=iedfolrf0000001,The Motley Fool,neutral,0.9272201657295228,0.056370660662651,0.9272201657295228,0.016409158706665,0.039961501955985995,0.11377438018098474,0.5568871900904924
7,7,7,09-25-2024,Hyperscalers Will Give a Massive Boost to These Energy Stocks,https://www.fool.com/investing/2024/09/25/hyperscalers-will-give-a-massive-boost-to-these-en/?source=iedfolrf0000001,The Motley Fool,positive,0.7888399958610535,0.7888399958610535,0.2013196498155594,0.0098403915762901,0.7789996042847633,0.11377438018098474,0.5568871900904924
8,8,8,08-24-2024,Forget NextEra Energy Partners: Buy This Top-Notch Ultra-High-Yield Stock Instead,https://www.fool.com/investing/2024/08/24/forget-nextera-energy-partners-buy-this-top-notch/?source=iedfolrf0000001,The Motley Fool,neutral,0.9038508534431458,0.0862073972821235,0.9038508534431458,0.0099417762830853,0.07626562099903819,0.11377438018098474,0.5568871900904924
9,9,9,08-20-2024,Prediction: This Ultra-High-Yield Stock Will Eventually Cut Its Dividend,https://www.fool.com/investing/2024/08/20/prediction-this-ultra-high-yield-stock-will-eventu/?source=iedfolrf0000001,The Motley Fool,negative,0.964038074016571,0.011184487491846,0.0247775111347436,0.964038074016571,-0.9528535865247251,0.11377438018098474,0.5568871900904924
