timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
02-21-2025,"Teck Shrugs Off Tariff Risks, While Cameco Says 'It's Kind Of Econ 101' For Uranium Prices",https://www.benzinga.com/news/management/25/02/43893993/teck-shrugs-off-tariff-risks-while-cameco-says-its-kind-of-econ-101-for-uranium-prices,Benzinga,neutral,0.6015876531600952,0.33824849128723145,0.6015876531600952,0.06016388535499573,0.2780846059322357,-0.0737743517383933,0.46311282413080335
02-21-2025,Why Cameco Corporation Stock Dropped on Friday,https://www.fool.com/investing/2025/02/21/why-cameco-corporation-stock-dropped-on-friday/?source=iedfolrf0000001,The Motley Fool,negative,0.9525397419929504,0.007482999935746193,0.03997715935111046,0.9525397419929504,-0.9450567420572042,-0.0737743517383933,0.46311282413080335
02-20-2025,Why Cameco Stock Jumped Today After Earnings,https://www.fool.com/investing/2025/02/20/why-cameco-stock-jumped-today-after-earnings/?source=iedfolrf0000001,The Motley Fool,neutral,0.8095968961715698,0.15729473531246185,0.8095968961715698,0.0331084206700325,0.12418631464242935,-0.0737743517383933,0.46311282413080335
02-19-2025,Is Cameco a Millionaire Maker?,https://www.fool.com/investing/2025/02/19/is-cameco-a-millionaire-maker/?source=iedfolrf0000001,The Motley Fool,neutral,0.9242755770683289,0.037742651998996735,0.9242755770683289,0.0379817932844162,-0.0002391412854194641,-0.0737743517383933,0.46311282413080335
02-16-2025,"Cameco Corporation: Buy, Sell, or Hold?",https://www.fool.com/investing/2025/02/16/cameco-corporation-buy-sell-or-hold/?source=iedfolrf0000001,The Motley Fool,neutral,0.9297758936882019,0.027034945785999298,0.9297758936882019,0.04318913817405701,-0.01615419238805771,-0.0737743517383933,0.46311282413080335
02-05-2025,Mustang Energy Engages Axiom Exploration for Airborne Geophysical Survey over the Dutton Project,https://www.globenewswire.com/news-release/2025/02/05/3020870/0/en/Mustang-Energy-Engages-Axiom-Exploration-for-Airborne-Geophysical-Survey-over-the-Dutton-Project.html,GlobeNewswire Inc.,neutral,0.8751311302185059,0.11431694775819778,0.8751311302185059,0.01055195927619934,0.10376498848199844,-0.0737743517383933,0.46311282413080335
01-31-2025,Is the Nuclear Energy Sell-Off a Buying Opportunity?,https://www.investing.com/analysis/is-the-nuclear-energy-selloff-a-buying-opportunity-200656832,Investing.com,neutral,0.892727792263031,0.055859267711639404,0.892727792263031,0.051412928849458694,0.00444633886218071,-0.0737743517383933,0.46311282413080335
01-30-2025,Uranium Sector Heating Up In 2025 Despite A DeepSeek Cooldown,https://www.benzinga.com/25/01/43333616/uranium-sector-heating-up-in-2025-despite-a-deepseek-cooldown,Benzinga,positive,0.9432933926582336,0.9432933926582336,0.03590505197644234,0.020801588892936707,0.9224918037652969,-0.0737743517383933,0.46311282413080335
01-28-2025,"Wall Street Comes To Nvidia's Defense After Biggest Loss Ever, Many Momos Wiped Out",https://www.benzinga.com/markets/equities/25/01/43272853/wall-street-comes-to-nvidias-defense-after-biggest-loss-ever-many-momos-wiped-out,Benzinga,negative,0.7350472807884216,0.09126092493534088,0.17369186878204346,0.7350472807884216,-0.6437863558530807,-0.0737743517383933,0.46311282413080335
01-27-2025,"Why Shares of Cameco, Denison Mines, and Uranium Energy All Crashed Today",https://www.fool.com/investing/2025/01/27/why-shares-of-cameco-denison-mines-and-uranium-ene/?source=iedfolrf0000001,The Motley Fool,negative,0.5882339477539062,0.022752810269594193,0.38901329040527344,0.5882339477539062,-0.5654811374843121,-0.0737743517383933,0.46311282413080335
