,Unnamed: 0,timestamp,title,url,source,sentiment,score,prob_positive,prob_neutral,prob_negative,net_sentiment,average_sentiment,sentiment_score_ranking
0,0,02-13-2025,"[Latest] Global Proton Exchange Membrane Fuel Cell Market Size/Share Worth USD 13,238.06 Million by 2034 at a 14.68% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth Rate, Value)",https://www.globenewswire.com/news-release/2025/02/13/3025634/0/en/Latest-Global-Proton-Exchange-Membrane-Fuel-Cell-Market-Size-Share-Worth-USD-13-238-06-Million-by-2034-at-a-14-68-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends.html,GlobeNewswire Inc.,neutral,0.8374337553977966,0.1542886346578598,0.8374337553977966,0.0082776369526982,0.1460109977051616,0.3081528111128137,0.6540764055564068
1,1,12-30-2024,"Green Hydrogen Market Projected to Reach USD 78,134.07 Million by 2032, Growing at a CAGR of 39.83% From 2024-2032 | Introspective Market Research",https://www.globenewswire.com/news-release/2024/12/30/3002685/0/en/Green-Hydrogen-Market-Projected-to-Reach-USD-78-134-07-Million-by-2032-Growing-at-a-CAGR-of-39-83-From-2024-2032-Introspective-Market-Research.html,GlobeNewswire Inc.,positive,0.9170633554458618,0.9170633554458618,0.0716149359941482,0.0113216610625386,0.9057416943833232,0.3081528111128137,0.6540764055564068
2,2,11-05-2024,"Ballard Power Reports 45% Revenue Decline Amid Slowing Hydrogen Adoption, Shares Dip",https://www.benzinga.com/news/earnings/24/11/41752166/ballard-power-reports-45-revenue-decline-amid-slowing-hydrogen-adoption-shares-dip,Benzinga,negative,0.9720380902290344,0.0069352914579212,0.0210266094654798,0.9720380902290344,-0.9651027987711133,0.3081528111128137,0.6540764055564068
3,3,11-04-2024,Ballard announces purchase order to supply 200 fuel cell engines to New Flyer,https://www.benzinga.com/pressreleases/24/11/n41713002/ballard-announces-purchase-order-to-supply-200-fuel-cell-engines-to-new-flyer,Benzinga,positive,0.8207517266273499,0.8207517266273499,0.1678371280431747,0.0114111686125397,0.8093405580148102,0.3081528111128137,0.6540764055564068
4,4,10-16-2024,"Global Hydrogen Truck Market to Surge to USD 171,050 Million by 2034 with a 41.2% CAGR | Future Market Insights, Inc.",https://www.globenewswire.com/news-release/2024/10/16/2963732/0/en/Global-Hydrogen-Truck-Market-to-Surge-to-USD-171-050-Million-by-2034-with-a-41-2-CAGR-Future-Market-Insights-Inc.html,GlobeNewswire Inc.,positive,0.9454488158226012,0.9454488158226012,0.041019432246685,0.0135317668318748,0.9319170489907264,0.3081528111128137,0.6540764055564068
5,5,10-10-2024,"Automotive Fuel Cell Market Size Projected to Grow at 31.1% CAGR, Reaching USD 8.6 Billion by 2034 with a Shift to Sustainable Transport| Report by Transparency Market Research, Inc.",https://www.globenewswire.com/news-release/2024/10/10/2961570/32656/en/Automotive-Fuel-Cell-Market-Size-Projected-to-Grow-at-31-1-CAGR-Reaching-USD-8-6-Billion-by-2034-with-a-Shift-to-Sustainable-Transport-Report-by-Transparency-Market-Research-Inc.html,GlobeNewswire Inc.,positive,0.9242392778396606,0.9242392778396606,0.065913438796997,0.0098472805693745,0.9143919972702862,0.3081528111128137,0.6540764055564068
6,6,07-03-2024,"Merchant Hydrogen Market Size Projected to Reach USD 565.5 Billion by 2034, With CAGR of 8.2%: Prophecy Market ... - GlobeNewswire",https://www.globenewswire.com/news-release/2024/07/03/2907970/0/en/Merchant-Hydrogen-Market-Size-Projected-to-Reach-USD-565-5-Billion-by-2034-With-CAGR-of-8-2-Prophecy-Market-Insights.html,GlobeNewswire Inc.,neutral,0.8181527256965637,0.1739588975906372,0.8181527256965637,0.0078883683308959,0.1660705292597413,0.3081528111128137,0.6540764055564068
7,7,05-07-2024,"Compared to Estimates, Ballard (BLDP) Q1 Earnings: A Look at Key Metrics",https://www.zacks.com/stock/news/2269710/compared-to-estimates-ballard-bldp-q1-earnings-a-look-at-key-metrics,Zacks Investment Research,neutral,0.8927269577980042,0.0860621780157089,0.8927269577980042,0.0212108977138996,0.0648512803018093,0.3081528111128137,0.6540764055564068
8,8,05-07-2024,"Ballard Power Systems (BLDP) Reports Q1 Loss, Misses Revenue Estimates",https://www.zacks.com/stock/news/2269649/ballard-power-systems-bldp-reports-q1-loss-misses-revenue-estimates,Zacks Investment Research,negative,0.9741625189781188,0.0079339109361171,0.0179034993052482,0.9741625189781188,-0.9662286080420017,0.3081528111128137,0.6540764055564068
9,9,04-25-2024,OSI Systems (OSIS) Tops Q3 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2262237/osi-systems-osis-tops-q3-earnings-and-revenue-estimates,Zacks Investment Research,positive,0.9421155452728271,0.9421155452728271,0.0257364474236965,0.0321480259299278,0.9099675193428993,0.3081528111128137,0.6540764055564068
