timestamp,title,url,source
10-16-2024,Primo Water Declares Special Dividend in Connection With Merger Deal,https://www.benzinga.com/news/earnings/24/10/41360156/primo-water-declares-special-dividend-in-connection-with-merger-deal,Benzinga
10-03-2024,Here's Why You Should Add FirstEnergy Stock to Your Portfolio Now,https://www.benzinga.com/news/earnings/24/10/41171613/heres-why-you-should-add-firstenergy-stock-to-your-portfolio-now,Benzinga
07-01-2024,Reasons to Add IDACORP (IDA) to Your Portfolio Right Now,https://www.zacks.com/stock/news/2295800/reasons-to-add-idacorp-ida-to-your-portfolio-right-now,Zacks Investment Research
06-28-2024,PSEG (PEG) Rides on Investments Despite Weak Financial Position,https://www.zacks.com/stock/news/2295193/pseg-peg-rides-on-investments-despite-weak-financial-position,Zacks Investment Research
06-27-2024,"AES Rides on Renewable Expansion, Declining Wholesale Prices Ail",https://www.zacks.com/stock/news/2294383/aes-rides-on-renewable-expansion-declining-wholesale-prices-ail,Zacks Investment Research
06-06-2024,"Eversource (ES) Rides on Renewable Focus, Strategic Investments",https://www.zacks.com/stock/news/2284517/eversource-es-rides-on-renewable-focus-strategic-investments,Zacks Investment Research
06-04-2024,American States Water (AWR) to Gain From Systematic Investments,https://www.zacks.com/stock/news/2283173/american-states-water-awr-to-gain-from-systematic-investments,Zacks Investment Research
05-31-2024,Here's Why You Should Add Vistra (VST) to Your Portfolio Now,https://www.zacks.com/stock/news/2282103/heres-why-you-should-add-vistra-vst-to-your-portfolio-now,Zacks Investment Research
05-31-2024,Reasons to Add Primo Water (PRMW) to Your Portfolio Now,https://www.zacks.com/stock/news/2281811/reasons-to-add-primo-water-prmw-to-your-portfolio-now,Zacks Investment Research
05-30-2024,Reasons to Add IDACORP (IDA) to Your Portfolio Right Now,https://www.zacks.com/stock/news/2281143/reasons-to-add-idacorp-ida-to-your-portfolio-right-now,Zacks Investment Research
05-25-2024,"Dividend Champion, Contender, And Challenger Highlights: Week Of May 26",https://seekingalpha.com/article/4695629-dividend-champion-contender-challenger-highlights-week-may-26,Seeking Alpha
05-07-2024,Southern (SO) Q1 Earnings Beat on Lower Operating Expense,https://www.zacks.com/stock/news/2269375/southern-so-q1-earnings-beat-on-lower-operating-expense,Zacks Investment Research
05-03-2024,"IDACORP (IDA) Q1 Earnings Fall Short of Estimates, Revenues Top",https://www.zacks.com/stock/news/2268270/idacorp-ida-q1-earnings-fall-short-of-estimates-revenues-top,Zacks Investment Research
05-01-2024,OGE Energy (OGE) Q1 Earnings and Revenues Miss Estimates,https://www.zacks.com/stock/news/2265717/oge-energy-oge-q1-earnings-and-revenues-miss-estimates,Zacks Investment Research
03-13-2024,4 Reasons to Add Unitil (UTL) Stock to Your Portfolio Now,https://www.zacks.com/stock/news/2239952/4-reasons-to-add-unitil-utl-stock-to-your-portfolio-now,Zacks Investment Research
03-08-2024,4 Reasons to Add PG&E (PCG) Stock to Your Portfolio Now,https://www.zacks.com/stock/news/2238087/4-reasons-to-add-pge-pcg-stock-to-your-portfolio-now,Zacks Investment Research
03-08-2024,"Alliant Energy (LNT) Rides on Renewable Expansion, Investments",https://www.zacks.com/stock/news/2237850/alliant-energy-lnt-rides-on-renewable-expansion-investments,Zacks Investment Research
